548	DMRT2
549	KHDRBS3
550	KHDRBS1
551	CELF1
552	CELF2
553	CES1
554	KLF1
555	CTCF
556	C6orf10
557	FARS2
558	CGRRF1
559	RRAGA
560	DCTN6
561	GNA13
562	TNFSF13B
563	CSPG5
564	AVIL
565	B3GNT2
566	CETN1
567	GNB5
568	EBP
569	PNMA2
570	FUT9
571	CETN2
572	GMEB1
573	CCT6B
574	CCT8
575	CNPY3
576	CETN3
577	FAM189B
578	CETP
579	USP39
580	POLD3
581	CERS1
582	TBR1
583	AP4B1
584	NRG3
585	CFL1
586	SLC12A7
587	MGEA5
588	NUDC
589	PTGES3
590	ADCY1
591	YME1L1
592	CFL2
593	PLK4
594	STAG2
595	SIX2
596	RFPL3
597	RFPL2
598	RBBP9
599	RAI2
600	RAI1
601	PHTF1
602	MAP3K2
603	KLRAP1
604	KIF1C
605	GRAP
606	CTSC
607	CHL1
608	GIPC1
609	TRAF3IP2
610	PLAC1
611	NUP50
612	NES
613	KDM5B
614	TOB2
615	HBS1L
616	AHCYL1
617	PLK2
618	ZMYND11
619	SRSF10
620	ZBTB6
621	POP4
622	ARPP19
623	ARPP21
624	ZNF266
625	ZNF274
626	NEK6
627	WDR4
628	NCKAP1
629	IQGAP2
630	VAMP5
631	ZNF273
632	ZNF460
633	MTHFD2
634	RPP40
635	CYSLTR1
636	CFTR
637	SEPT9
638	SEC24A
639	GJB6
640	SDCCAG8
641	SDCCAG3
642	HSPH1
643	STARD10
644	WASF3
645	CGA
646	ADCY2
647	NOXA1
648	UTP14A
649	CPLX2
650	CPLX1
651	FRS3
652	FRS2
653	NEU3
654	CGB
655	FAM114A2
656	ALDH1L1
657	FTCD
658	PPP1R17
659	TUBGCP2
660	CLPX
661	SRCAP
662	PPP1R13L
663	CD3EAP
664	HPSE
665	RUVBL2
666	PGRMC1
667	CYP46A1
668	LILRB1
669	SLC26A1
670	ARID5A
671	USP20
672	USP19
673	HCST
674	CD300C
675	ME3
676	NMU
677	CEACAM7
678	FGL2
679	SMR3B
680	CEACAM8
681	C1QL1
682	MRPS30
683	WDR3
684	RAB10
685	PPARGC1A
686	MALT1
687	LYVE1
688	YIF1A
689	CPSF4
690	JTB
691	RUNDC3A
692	DHRS4
693	BRD8
694	MTMR11
695	BLCAP
696	MAN1A2
697	TRAFD1
698	TXNL4A
699	PNPLA6
700	SUGT1
701	ADCY3
702	UTS2
703	GADD45G
704	EDAR
705	PAPOLA
706	TCERG1
707	MAGED2
708	BTNL3
709	EHMT2
710	COPS8
711	RNPS1
712	FASTK
713	SUB1
714	DBF4
715	SPIN1
716	RALBP1
717	SRSF8
718	MORF4L1
719	MORF4
720	PRDX3
721	EHD1
722	AFG3L2
723	POP1
724	PRSS21
725	MSL3
726	C11orf58
727	KDELR1
728	SF3A3
729	AP3M2
730	STARD3
731	HNRNPA0
732	BTG3
733	CBX1
734	SEC61B
735	TOMM34
736	PDIA5
737	SERINC3
738	OS9
739	PNRC1
740	TMED2
741	LMAN2
742	ERP29
743	MLLT11
744	STIP1
745	ACOT2
746	RAB40B
747	EBNA1BP2
748	CKAP4
749	YWHAQ
750	TMED10
751	ASCC3
752	ADIRF
753	UQCR11
754	CLP1
755	FERMT2
756	COPS6
757	RAB32
758	MAPRE2
759	CCNI
760	GCN1L1
761	COPS5
762	METAP2
763	IMMT
764	SLC38A3
765	SF3B2
766	ILVBL
767	SLC27A4
768	SLC27A3
769	SLC27A2
770	KIF2C
771	LILRB4
772	CCDC85B
773	IL24
774	GLIPR1
775	CHAD
776	TLK2
777	KLK11
778	KDELR2
779	KDELR3
780	ATF7
781	SNRNP27
782	TMED1
783	LIAS
784	IFT27
785	RCBTB2
786	RAB35
787	TDRKH
788	LILRA1
789	LILRB3
790	LILRA3
791	A1BG
792	RBPMS
793	CHAT
794	RAB31
795	ADAP1
796	DSTN
797	RIPK3
798	GTF2A1L
799	PIM2
800	RCC1
801	B4GAT1
802	MID2
803	PAPD7
804	UPK1A
805	ADRM1
806	NUDT21
807	CHD1
808	CPSF6
809	OGFR
810	ZPBP
811	DDX52
812	WWP1
813	WWP2
814	CHD2
815	LECT1
816	DUS4L
817	SOX30
818	CNTRL
819	UBE2C
820	SNRNP35
821	C10orf10
822	CYB561D2
823	RAPGEF4
824	TMEM115
825	CHD3
826	DUSP14
827	TOPBP1
828	TRIM31
829	STMN2
830	TPPP
831	HSF2BP
832	TRIOBP
833	RER1
834	DNAJB4
835	CHD4
836	KERA
837	DIDO1
838	ADAM30
839	WDR5
840	AKR1C4
841	C9orf9
842	CACFD1
843	NUPL2
844	PRSS23
845	PTPN21
846	HNRNPUL1
847	ATE1
848	RPP14
849	KRR1
850	KATNA1
851	PRDM5
852	PRDM4
853	CHEK1
854	HIBADH
855	CIT
856	FGFR1OP
857	EMILIN1
858	BTN3A2
859	BTN3A1
860	BTN2A1
861	FOXN3
862	RCAN3
863	FAF1
864	CD160
865	KIF3A
866	ADCY5
867	POLR3A
868	CLASRP
869	ZWINT
870	CHGA
871	CAPN11
872	CAPN10
873	KPTN
874	CDC42EP1
875	PWP1
876	TBC1D8
877	CDC37
878	CHGB
879	IL1RAPL1
880	PKIG
881	KAT7
882	DMC1
883	PLA2G16
884	GLMN
885	BVES
886	CORO1A
887	WDR45
888	AP4S1
889	PTP4A3
890	LSM6
891	RABL2B
892	RABL2A
893	ERLIN2
894	C14orf1
895	CHI3L1
896	NUDT6
897	NUDT5
898	NUDT3
899	SOX21
900	FSTL1
901	PSIP1
902	WDHD1
903	FAM107A
904	STRAP
905	CHI3L2
906	INSL6
907	BAZ2A
908	BAZ1A
909	LZTS1
910	ZNF277
911	WDR6
912	SLC2A6
913	MAP4K5
914	MAP4K1
915	CHIT1
916	INMT
917	RASSF1
918	PKP3
919	NISCH
920	CELF3
921	CEP250
922	WBP4
923	ABCB8
924	CHKA
925	SEC23IP
926	WIF1
927	SUPT16H
928	ANXA10
929	CHEK2
930	POLI
931	KLK8
932	ADCY6
933	CHM
934	FZD10
935	PROSC
936	IRAK3
937	AKAP13
938	AKAP11
939	AKAP10
940	AKAP2
941	DDX20
942	TREX2
943	CHML
944	DUSP10
945	MRPL3
946	RPL35
947	GALNT6
948	RASSF8
949	PRAF2
950	SEC63
951	CHN1
952	POLG2
953	HPS5
954	PDCD10
955	RNF139
956	EGLN2
957	EGLN3
958	CHN2
959	PMF1
960	ZHX1
961	PRKCDBP
962	NXPH4
963	PRRT2
964	NXPH3
965	NXPH2
966	PTGDR2
967	PACSIN2
968	MAN1B1
969	SNX18
970	DCTN3
971	XPOT
972	MRAP2
973	CHP1
