id,name,prob
12351,GRHPR,0.00013574463586214642
12548,NCOR1,1.6803893884641136e-06
608,GIPC1,0.0029569245756367385
1099,GPRASP2,1.8676514337604705e-05
2060,DLG4,0.004318166753092319
5339,ARRB1,0.01398660033094854
5349,ARRB2,0.0013322870636079348
12778,MAGI2,0.0028194460789917335
15,HDAC6,1.2956222682971324e-05
107,LRPPRC,1.0000000994736041e-07
109,PDIA6,9.106969172389837e-07
142,SLC25A13,0.003208230172991667
160,RNF41,0.0004314556111562343
327,GNB2L1,2.080199104374312e-05
389,CLGN,0.001073482314265895
462,SPTLC1,0.004311781413648257
666,PGRMC1,0.0003453233301296409
671,USP20,2.8647509088356457e-05
763,IMMT,0.004800721860139237
766,ILVBL,0.002814279762563555
957,EGLN3,1.733315155417015e-07
1036,PHB2,3.142134640838566e-05
1239,CLTC,0.00084839334454858
1325,CNN1,0.0011668941734267549
1613,MAPK14,1.5309620900221592e-06
1682,SLC25A10,0.0023081134851712422
1859,ADRBK1,0.0015499054294088178
1863,ADRBK2,0.0009597296108741308
1900,DAD1,0.001370334638153074
2054,DLAT,8.29278165123044e-05
2193,EEF1A1,0.001012776516407334
2198,EEF1B2,0.0007603385056254523
2199,EEF1D,0.001520784018236881
2200,EEF1G,0.0002690277859955301
2201,EEF2,0.0016129652573340432
2235,EIF2B1,7.30856057593226e-05
2242,EIF4A1,0.0015328095369482571
2323,TUBB,1.0000000994736041e-07
2342,STOM,7.593116764483515e-06
2399,ETFB,0.0046067409252331356
2576,ALDOA,0.0010206621862604516
2690,RAB18,0.004294145508146815
2756,USP33,0.0013136049694722953
2864,FLNA,0.00028996613429936564
2925,NUP210,0.00012650961617717552
3053,KIAA0368,0.00013459440391134852
3082,TARDBP,0.00018891790407169441
3128,SLC39A14,0.0019348476859235865
3146,MAPK8IP2,0.00574951563848272
3247,FKBP8,0.004320602238201685
13456,KCTD13,0.0002540100330195384
3454,MTHFD1L,0.0003184125869377185
3501,GAPDH,4.560586726728695e-06
17467,PLA2G2D,0.0013880868805825986
3680,FAM162A,0.0014325847896049138
3683,GCDH,0.0007420223807293914
3703,CNNM3,0.002176851249304803
3723,RGS17,0.000627612966472975
3995,GNAI2,0.004320982713071034
3997,GNAI3,0.00011934076269973967
4003,GNAT2,0.002390174602776198
4006,GNB1,1.0000000994736041e-07
4007,GNB2,1.0000000994736041e-07
4124,GPR37,0.0008384209804897808
4134,GRK4,0.0007972565816102969
4135,GRK5,1.0000000994736041e-07
4136,GRK6,0.0024440074146160153
4163,GRIA3,0.008123782335537648
4277,SLC25A5,0.00042487078835136383
4282,SLC25A6,7.2911989467145154e-06
4380,SEC61A1,7.141864349864193e-06
4415,RHOD,0.002034425082239313
4463,HADHB,8.046934045362941e-06
4541,HLA-B,0.004314363646575129
4542,HLA-C,0.0038437822071704115
4601,HNRNPA2B1,0.001040494847957262
4606,HNRNPF,0.0051263893420719015
4607,HNRNPH1,9.115425898193209e-05
4610,HNRNPK,1.1032415656550574e-06
4612,HNRNPU,2.122025416698548e-06
4686,HSD17B4,0.0008626940236656097
4693,HSPA1A,2.4544934306608484e-06
4694,HSPA1B,0.017941119300338287
4698,HSPA5,0.0027615352888469297
4704,HSPA9,3.437791084678393e-05
4714,HSPD1,2.8789255829599945e-06
4777,IDH2,0.000379622780897594
4778,IDH3A,0.003312735636923182
4779,IDH3B,7.814646506090909e-05
4780,IDH3G,0.0027037067541798745
4901,IL6R,0.0002302891960679342
5061,KCNE1,0.0017159883492171245
5069,KCNJ3,0.0009027083404009976
5071,KCNJ5,0.00258014613220226
5085,ARF4,0.001683167765891913
5130,KPNB1,6.230978544161719e-06
5140,KRT1,3.805119537979991e-05
5141,KRT2,0.00031926961258726776
5144,KRT5,0.00330244219493148
5149,KRT9,2.179971310177469e-05
